Run,RT,Male,Female,None,Pct
766,22,12,6,4,0.6667
767,32,22,7,3,0.7586
768,24,18,2,4,0.9000
769,22,12,6,4,0.6667
770,25,14,9,2,0.6087
771,23,11,9,3,0.5500
772,30,19,7,4,0.7308
773,29,22,3,4,0.8800
774,27,15,4,8,0.7895
775,23,18,3,2,0.8571
776,23,16,3,4,0.8421
777,16,12,2,2,0.8571
778,21,12,6,3,0.6667
779,26,14,6,6,0.7000
780,20,12,4,4,0.7500
781,32,18,7,7,0.7200
782,26,14,7,5,0.6667
783,27,18,7,2,0.7200
784,23,9,10,4,0.4737
785,28,19,4,5,0.8261
786,23,18,5,0,0.7826
787,27,13,9,5,0.5909
788,33,20,9,4,0.6897
789,28,13,12,3,0.5200
790,25,14,5,6,0.7368
791,18,10,3,5,0.7692
792,22,14,4,4,0.7778
793,25,14,6,5,0.7000
794,18,12,5,1,0.7059
795,31,18,6,7,0.7500
796,28,18,6,4,0.7500
797,24,16,3,5,0.8421
798,25,8,9,8,0.4706
799,21,14,3,4,0.8235
800,23,15,7,1,0.6818
801,32,15,13,4,0.5357
802,23,11,7,5,0.6111
803,25,14,5,6,0.7368
804,31,22,6,3,0.7857
805,24,15,4,5,0.7895
806,29,15,12,2,0.5556
807,34,18,13,3,0.5806
808,25,14,7,4,0.6667
809,23,14,6,3,0.7000
810,20,15,4,1,0.7895
811,17,13,2,2,0.8667
812,20,12,6,2,0.6667
813,28,16,9,3,0.6400
814,28,17,5,6,0.7727
815,33,13,13,7,0.5000
816,28,15,7,6,0.6818
817,24,8,12,4,0.4000
818,22,17,4,1,0.8095
819,21,11,5,5,0.6875
820,31,21,3,7,0.8750
821,18,12,3,3,0.8000
822,28,14,8,6,0.6364
823,34,17,11,6,0.6071
824,23,14,5,4,0.7368
825,21,12,3,6,0.8000
826,25,14,7,4,0.6667
827,34,18,13,3,0.5806
828,29,18,8,3,0.6923
829,23,14,6,3,0.7000
830,29,18,9,2,0.6667
831,37,23,11,3,0.6765
832,25,14,6,5,0.7000
833,20,11,6,3,0.6471
834,22,12,5,5,0.7059
835,25,19,2,4,0.9048
836,31,21,9,1,0.7000
837,19,11,7,1,0.6111
838,27,15,4,8,0.7895
839,23,16,5,2,0.7619
840,23,15,5,3,0.7500
841,29,13,9,7,0.5909
842,29,17,8,4,0.6800
843,23,12,4,7,0.7500
844,22,12,10,0,0.5455
845,26,17,4,5,0.8095
846,25,15,6,4,0.7143
847,26,14,6,6,0.7000
848,22,16,2,4,0.8889
849,12,6,5,1,0.5455
850,26,13,10,3,0.5652
851,30,12,11,7,0.5217
852,21,12,3,6,0.8000
853,21,14,5,2,0.7368
854,30,17,6,7,0.7391
855,30,20,3,7,0.8696
856,26,21,1,4,0.9545
857,16,10,2,4,0.8333
858,27,20,3,4,0.8696
859,25,17,6,2,0.7391
860,17,8,6,3,0.5714
861,25,15,5,5,0.7500
862,31,14,9,8,0.6087
863,31,21,6,4,0.7778
864,16,11,4,1,0.7333
865,26,13,8,5,0.6190
866,19,13,3,3,0.8125
867,28,20,2,6,0.9091
868,25,14,4,7,0.7778
869,22,13,6,3,0.6842
870,29,17,9,3,0.6538
871,27,13,8,6,0.6190
872,20,11,5,4,0.6875
873,22,13,5,4,0.7222
874,25,14,5,6,0.7368
875,23,12,9,2,0.5714
876,33,20,8,5,0.7143
877,28,17,5,6,0.7727
878,17,12,3,2,0.8000
879,24,14,6,4,0.7000
880,20,10,6,4,0.6250
881,25,15,6,4,0.7143
882,21,12,4,5,0.7500
883,23,14,5,4,0.7368
884,29,17,7,5,0.7083
885,21,11,6,4,0.6471
886,25,9,10,6,0.4737
887,36,19,11,6,0.6333
888,24,15,4,5,0.7895
889,26,17,4,5,0.8095
890,25,18,6,1,0.7500
891,35,16,12,7,0.5714
892,33,21,6,6,0.7778
893,22,13,5,4,0.7222
894,25,15,7,3,0.6818
895,28,20,2,6,0.9091
896,18,13,3,2,0.8125
897,24,14,5,5,0.7368
898,23,11,4,8,0.7333
899,20,8,6,6,0.5714
900,20,10,6,4,0.6250
901,25,17,5,3,0.7727
902,26,12,6,8,0.6667
903,20,11,5,4,0.6875
904,25,15,6,4,0.7143
905,30,17,10,3,0.6296
906,18,13,3,2,0.8125
907,25,12,7,6,0.6316
908,21,10,3,8,0.7692
909,28,16,8,4,0.6667
910,29,13,11,5,0.5417
911,23,19,3,1,0.8636
912,23,15,7,1,0.6818
913,26,16,2,8,0.8889
914,28,16,9,3,0.6400
915,24,16,5,3,0.7619
916,30,15,9,6,0.6250
917,27,10,5,12,0.6667
918,24,15,6,3,0.7143
919,30,14,9,7,0.6087
920,19,14,4,1,0.7778
921,20,9,8,3,0.5294
922,22,14,5,3,0.7368
923,25,17,4,4,0.8095
924,19,13,1,5,0.9286
925,25,20,3,2,0.8696
